City,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Man-slaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Criminal Sexual Contact,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counter-feiting/Forgery,Destruction/Damage/Vandalism of Property,Unnamed: 30
Galena Park,10215,386,88,273,25,86,14,56,16,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,17,59,34,0
Galveston,52810,3827,1309,1876,642,1205,147,785,273,6,6,0,0,2,2,0,11,85,61,12,0,12,0,0,5,0,126,45,324,0
Ganado,2005,32,8,16,8,6,3,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,2,0
Garden Ridge,4400,137,14,80,43,12,0,4,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,8,0
Garland,240051,12922,3365,7515,2042,3197,318,2618,261,14,11,1,2,0,0,0,27,127,74,1,0,52,0,0,19,0,748,65,928,0
Garrison,834,8,2,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gatesville,16230,512,164,274,74,152,18,113,21,2,2,0,0,0,0,0,0,10,5,0,0,5,0,0,2,0,43,14,54,0
Georgetown,87871,2771,712,1702,357,652,92,495,65,1,0,1,0,0,0,0,15,44,19,15,3,7,0,0,5,0,187,48,215,0
George West,2155,112,45,47,20,41,11,28,2,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,13,0,11,0
Giddings,5202,238,85,117,36,78,10,49,19,1,1,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,9,8,22,0
Gilmer,5119,339,86,207,46,73,12,48,13,1,0,1,0,5,2,3,0,7,5,0,0,2,0,0,1,0,12,15,27,0
Gladewater,6271,173,60,88,25,52,15,30,7,0,0,0,0,0,0,0,0,8,5,0,1,2,0,0,0,0,8,6,15,0
Glenn Heights,19628,626,238,279,109,231,39,164,28,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,0,0,13,0,54,0
Godley,3545,75,12,37,26,12,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0
Gonzales,7210,467,134,202,131,128,117,8,3,0,0,0,0,0,0,0,1,5,3,0,2,0,0,0,2,0,23,13,41,0
Graham,8767,363,70,99,194,60,4,44,12,0,0,0,0,0,0,0,0,10,5,1,0,4,0,0,0,0,5,2,4,0
Granbury,13124,820,163,523,134,153,11,129,13,4,3,1,0,0,0,0,0,6,6,0,0,0,0,0,1,0,12,14,63,0
Grand Prairie,205487,9045,1606,4761,2678,1509,275,1187,47,6,4,1,1,0,0,0,3,88,53,5,1,29,0,0,8,0,274,82,818,0
Grand Saline,3272,57,11,32,14,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
Granger,1186,24,11,12,1,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0
Grapeland,1480,21,8,12,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Grapevine,51458,2468,433,1651,384,397,64,280,53,2,2,0,0,0,0,0,0,34,12,1,6,15,0,0,2,1,98,44,53,0
Greenville,32547,1222,332,508,382,309,42,256,11,2,2,0,0,0,0,0,1,20,17,1,0,2,0,0,3,0,63,7,13,0
Groesbeck,3617,194,56,102,36,56,4,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,13,0
Groves,16554,597,204,320,73,194,48,134,12,0,0,0,0,0,0,0,0,10,6,1,0,3,0,0,1,0,33,19,72,0
Gun Barrel City,6660,291,63,186,42,60,10,50,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,30,6,36,0
Gunter,2580,28,4,20,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0
Hale Center,1997,41,16,22,3,13,4,8,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,1,1,0
Hallettsville,2736,176,58,38,80,56,13,33,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4,16,0
Hallsville,4829,37,11,17,9,9,0,9,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,1,1,0
Haltom City,45298,2560,609,1681,270,564,92,398,74,4,3,1,0,1,0,1,9,31,19,4,0,8,0,0,4,0,164,33,414,0
Hamilton,2880,129,45,56,28,43,9,34,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,3,15,0
Hamlin,1859,40,21,6,13,20,4,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
Harker Heights,34540,1131,263,602,266,236,48,156,32,6,4,1,1,0,0,0,2,19,10,3,0,6,0,0,0,0,44,31,113,0
Harlingen,71581,5073,1314,2872,887,1270,172,875,223,1,1,0,0,9,2,7,12,22,7,4,0,11,0,0,9,0,279,67,543,0
Haskell,3061,35,10,20,5,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Hawkins,1389,53,17,23,13,17,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0
Hawley,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearne,4541,104,55,36,13,53,11,42,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,13,1,3,0
Heath,11188,241,77,80,84,75,6,58,11,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,1,12,0
Hedwig Village,2302,200,8,176,16,8,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,13,0
Helotes,9854,372,38,200,134,35,1,27,7,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,25,4,24,0
Hempstead,6545,392,100,220,72,97,23,67,7,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,25,13,45,0
Henderson,13446,1267,475,661,131,451,59,341,51,3,1,2,0,0,0,0,0,21,9,0,0,11,1,0,1,0,75,19,153,0
Hereford,14687,686,171,425,90,155,17,135,3,0,0,0,0,0,0,0,1,15,6,1,3,5,0,0,1,0,78,13,120,0
Hewitt,16615,679,146,332,201,132,7,95,30,0,0,0,0,0,0,0,1,13,7,0,0,6,0,0,1,0,26,11,33,0
Hickory Creek,5760,162,26,99,37,26,4,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,12,0
Hico,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo,14660,546,182,318,46,168,18,114,36,0,0,0,0,0,0,0,3,11,5,0,1,5,0,0,0,0,18,0,47,0
Highland Park,8707,354,28,260,66,27,7,20,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,25,9,11,0
Highland Village,16185,476,98,266,112,91,2,66,23,0,0,0,0,0,0,0,1,6,2,0,0,4,0,0,0,0,2,19,28,0
Hill Country Village,947,76,8,39,29,8,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0
Hillsboro,8723,467,133,251,83,123,20,81,22,0,0,0,0,0,0,0,1,9,6,0,0,3,0,0,2,0,15,9,27,0
Hitchcock,7812,437,158,237,42,140,18,118,4,0,0,0,0,0,0,0,0,18,10,0,0,8,0,0,6,0,24,1,51,0
Holiday Lakes,1058,27,11,15,1,9,0,7,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,3,0,4,0
Hollywood Park,3078,182,12,85,85,12,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,0
Hondo,8800,474,108,243,123,97,12,79,6,1,1,0,0,0,0,0,1,9,4,2,0,3,0,0,0,0,27,5,69,0
Honey Grove,1783,32,7,20,5,6,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7,0
Hooks,2481,95,23,66,6,21,11,5,5,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,9,0
Horizon City,23662,633,149,366,118,135,12,87,36,0,0,0,0,0,0,0,3,11,3,4,0,4,0,0,1,0,15,7,98,0
Horseshoe Bay,5009,114,34,60,20,33,4,22,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,13,2,7,0
Houston,2304406,226706,66820,145839,14047,63869,16717,26216,20936,365,343,3,19,84,71,13,382,2120,781,666,8,665,0,0,373,9,13411,3270,21367,0
Howe,3756,71,23,21,27,23,1,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Hudson Oaks,2661,123,9,105,9,7,3,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,5,7,0
Humble,16143,2804,423,2138,243,391,81,287,23,1,1,0,0,0,0,0,1,30,26,1,1,2,0,0,5,0,107,43,272,0
Huntington,2067,26,12,11,3,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Huntsville,48064,2209,753,1172,284,699,184,452,63,8,7,1,0,1,1,0,2,43,34,1,0,7,1,0,4,0,112,33,162,0
Hurst,39299,2414,510,1370,534,463,56,363,44,2,2,0,0,0,0,0,7,38,23,0,0,15,0,0,0,0,76,40,140,0
Hutchins,5641,490,95,360,35,84,22,44,18,0,0,0,0,0,0,0,3,8,6,0,0,2,0,0,0,0,20,0,56,0
Hutto,41911,888,213,505,170,204,16,172,16,1,1,0,0,0,0,0,0,8,3,2,1,2,0,0,0,0,67,11,58,0
Idalou,2099,20,7,9,4,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
Ingleside,10360,488,167,249,72,147,38,77,32,1,1,0,0,0,0,0,4,15,12,0,0,3,0,0,0,0,41,7,51,0
Iowa Colony,13236,243,112,116,15,109,6,99,4,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,13,2,17,0
Iowa Park,6603,91,32,43,16,29,8,16,5,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,7,2,6,0
Irving,255203,17130,3684,10106,3340,3364,447,2325,592,16,13,3,0,8,6,2,54,242,89,45,21,87,0,0,7,0,614,183,2563,0
Italy,2086,34,8,24,2,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Itasca,1872,10,1,6,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0
Jacinto City,9192,475,74,358,43,73,3,69,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,8,9,55,0
Jacksboro,4421,99,47,32,20,42,7,27,8,1,0,1,0,0,0,0,0,4,3,0,0,1,0,0,1,0,3,1,9,0
Jacksonville,14309,1058,261,502,295,243,52,191,0,3,2,1,0,0,0,0,7,8,4,0,0,4,0,0,0,0,58,22,94,0
Jamaica Beach,1060,30,2,13,15,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0
Jarrell,4744,152,30,32,90,27,3,22,2,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,4,6,3,0
Jasper,7701,535,132,339,64,126,22,98,6,4,1,3,0,0,0,0,1,1,0,0,0,1,0,0,7,0,50,10,47,0
Jefferson,1835,62,12,38,12,12,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,0
Jersey Village,7496,475,74,321,80,71,14,54,3,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,10,8,52,0
Jonestown,2674,87,26,48,13,25,2,19,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0,8,0
Josephine,4785,93,37,43,13,33,3,16,14,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,16,1,13,0
Joshua,9054,256,54,113,89,48,9,37,2,0,0,0,0,0,0,0,2,4,1,1,0,2,0,0,0,0,12,9,17,0
Jourdanton,4342,179,72,39,68,70,22,38,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0
Junction,2554,46,21,8,17,20,2,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Karnes City,3112,117,20,50,47,20,4,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,0
Katy,26776,2007,258,1381,368,232,28,183,21,0,0,0,0,1,0,1,2,23,17,1,0,5,0,0,0,0,35,29,198,0
Kaufman,8935,629,81,189,359,76,11,61,4,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,0,0,13,14,29,0
Keene,6884,228,64,80,84,58,6,48,4,1,1,0,0,0,0,0,1,4,3,0,0,1,0,0,2,0,14,0,16,0
Keller,45024,996,202,606,188,187,22,139,26,2,0,2,0,0,0,0,0,13,4,3,0,6,0,0,1,0,44,24,69,0
Kemah,1783,143,40,84,19,33,4,27,2,0,0,0,0,0,0,0,1,6,5,0,0,1,0,0,0,0,9,0,10,0
Kemp,1327,100,26,31,43,25,5,10,10,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,6,0
Kempner,1278,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
Kenedy,3404,144,42,89,13,41,5,35,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,0,19,0
Kennedale,9781,313,102,116,95,100,14,82,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,31,0
Kerens,1460,40,13,24,3,13,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0
Kermit,5694,77,41,33,3,39,5,33,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,6,0,6,0
Kerrville,24962,1009,346,334,329,322,33,237,52,2,1,1,0,3,3,0,3,16,6,1,1,8,0,0,0,0,31,25,56,0
Kilgore,13527,1576,224,505,847,215,26,151,38,0,0,0,0,0,0,0,4,5,2,1,0,2,0,0,0,0,38,19,40,0
Killeen,161968,9178,2982,4424,1772,2777,605,1940,232,10,9,1,0,0,0,0,46,149,84,10,6,49,0,0,7,1,497,81,833,0
Kingsville,24579,1678,454,897,327,443,58,360,25,0,0,0,0,0,0,0,0,11,6,0,5,0,0,0,0,0,85,18,244,0
Kirby,8058,322,84,221,17,80,56,7,17,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,1,0,22,2,71,0
Knox City,1024,37,13,21,3,12,3,7,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,1,3,0
Kountze,2258,57,21,21,15,20,4,16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,1,3,0
Kyle,63931,2226,677,1018,531,634,124,454,56,0,0,0,0,0,0,0,19,24,13,3,5,3,0,0,0,1,45,31,177,0
Lacy-Lakeview,7333,404,137,147,120,127,21,100,6,6,3,3,0,0,0,0,1,3,2,1,0,0,0,0,1,0,25,3,33,0
La Feria,6790,343,81,158,104,78,22,50,6,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,0,13,4,18,0
Lago Vista,10066,216,74,127,15,66,9,51,6,0,0,0,0,0,0,0,1,7,3,2,2,0,0,0,0,0,6,5,32,0
La Grange,4478,241,69,139,33,64,6,47,11,0,0,0,0,0,0,0,0,5,2,0,0,3,0,0,0,0,16,2,28,0
La Grulla,1203,37,16,21,0,14,4,9,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,5,0
Laguna Vista,3754,76,16,55,5,15,2,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,14,0
La Joya,4748,113,38,52,23,37,21,7,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,11,1,15,0
Lake Dallas,7885,156,61,79,16,58,7,48,3,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,8,4,19,0
Lake Jackson,27432,1207,431,681,95,403,51,319,33,1,1,0,0,0,0,0,9,18,11,1,0,6,0,0,0,0,44,23,83,0
Lakeport,992,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lakeside,1592,37,7,26,4,7,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0
Lakeview Harrison County,6633,215,56,87,72,53,6,36,11,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,4,16,0
Lakeway,19519,577,89,314,174,83,9,62,12,0,0,0,0,0,0,0,1,5,4,0,0,1,0,0,1,0,31,26,33,0
Lake Worth,4652,793,82,539,172,77,13,52,12,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,21,11,41,0
La Marque,19503,1286,520,553,213,483,62,328,93,4,4,0,0,0,0,0,2,31,22,0,0,9,0,0,2,0,73,12,83,0
Lamesa,8300,332,131,132,69,118,22,72,24,2,0,2,0,0,0,0,5,6,4,0,0,2,0,0,2,0,32,7,26,0
Lampasas,7894,737,232,355,150,219,20,147,52,1,1,0,0,0,0,0,0,12,6,1,0,5,0,0,0,0,13,7,87,0
Lancaster,40292,2476,602,1670,204,580,164,374,42,5,4,1,0,0,0,0,1,16,6,1,0,9,0,0,4,1,140,8,328,0
La Porte,37221,1466,576,477,413,554,61,459,34,1,0,1,0,0,0,0,0,21,6,1,0,14,0,0,2,0,55,12,24,0
Laredo,256542,10569,3742,5514,1313,3479,869,1644,966,11,10,1,0,4,0,4,53,195,100,22,7,66,0,0,36,2,452,55,1096,0
La Vernia,1315,130,10,55,65,8,0,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,5,6,0
La Villa,3091,141,51,84,6,51,15,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,22,0
Lavon,7814,203,65,117,21,62,24,35,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,33,1,15,0
League City,115791,4082,1069,2404,609,1020,82,844,94,6,4,2,0,0,0,0,1,42,25,4,1,12,0,0,0,1,136,69,258,0
Leander,82228,1813,648,1007,158,588,26,523,39,1,0,1,0,0,0,0,9,50,24,2,0,24,0,0,3,1,75,16,152,0
Leon Valley,11370,1557,290,946,321,282,49,187,46,0,0,0,0,0,0,0,0,8,5,2,0,1,0,0,1,1,47,27,160,0
Levelland,12194,526,145,272,109,134,67,47,20,2,1,1,0,0,0,0,2,7,4,0,1,2,0,0,1,0,57,24,63,0
Lewisville,133694,6120,1463,3702,955,1368,186,947,235,9,8,1,0,1,1,0,14,71,19,3,40,9,0,0,3,0,186,89,376,0
Lexington,1300,23,5,9,9,4,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0
Liberty,8808,407,124,257,26,120,30,61,29,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,1,2,19,27,28,0
Liberty Hill,7018,158,44,73,41,42,3,36,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,10,3,11,0
Lindale,6953,221,43,142,36,40,10,23,7,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,3,9,19,0
Little Elm,59954,1289,505,492,292,447,80,280,87,1,1,0,0,1,1,0,2,54,37,1,0,16,0,0,2,0,23,17,73,0
Littlefield,5707,237,63,135,39,63,10,8,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,5,31,0
Live Oak,16020,1552,162,1002,388,146,9,107,30,0,0,0,0,0,0,0,1,15,11,1,0,2,1,0,0,0,67,12,82,0
Livingston,5813,712,198,390,124,188,29,137,22,0,0,0,0,0,0,0,0,10,3,2,1,4,0,0,0,0,19,12,36,0
Llano,3564,80,24,53,3,24,2,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,0
Lockhart,15310,513,112,294,107,107,6,100,1,0,0,0,0,0,0,0,0,5,2,0,0,3,0,0,0,0,98,9,44,0
Log Cabin,819,23,7,11,5,7,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lone Star,1403,33,16,15,2,16,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0
Longview,82981,5531,1379,3175,977,1291,253,704,334,12,9,2,1,0,0,0,8,68,42,4,0,22,0,0,1,0,297,131,566,0
Lorena,1779,97,31,30,36,29,7,4,18,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,0
Los Fresnos,8260,448,85,162,201,82,61,10,11,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,11,5,19,0
Lubbock,266960,25769,7581,14787,3401,7135,1687,4416,1032,24,16,5,3,6,6,0,55,361,173,59,30,99,0,0,83,5,1638,467,2565,0
Lufkin,34193,2846,751,1574,521,682,135,485,62,4,2,2,0,2,2,0,5,58,34,3,2,19,0,0,2,0,134,70,256,0
Luling,5528,241,64,127,50,62,14,37,11,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,11,8,14,0
Lumberton,14264,390,115,151,124,108,11,84,13,0,0,0,0,1,1,0,0,6,2,1,0,3,0,0,0,0,17,8,16,0
Lyford,2237,42,10,32,0,8,3,5,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,6,0
Lytle,3120,215,15,138,62,13,1,12,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,16,5,35,0
Madisonville,4638,180,43,110,27,39,10,22,7,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,13,2,14,0
Magnolia,3921,116,21,45,50,20,2,17,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,11,1,6,0
Manor,22185,766,136,550,80,130,23,79,28,2,2,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,40,4,132,0
Mansfield,78788,2176,366,1580,230,341,63,219,59,1,1,0,0,0,0,0,0,24,15,0,0,9,0,0,3,0,102,34,155,0
Manvel,17817,402,117,183,102,106,14,86,6,0,0,0,0,0,0,0,1,10,9,0,0,1,0,0,1,0,32,3,22,0
Marble Falls,7598,614,171,251,192,158,21,118,19,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,1,0,22,6,49,0
Marfa,1695,27,7,4,16,5,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0
Marion,1077,9,1,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Marlin,5488,228,62,72,94,56,20,31,5,0,0,0,0,0,0,0,1,5,3,0,1,1,0,0,1,0,23,2,18,0
Marshall,23790,1098,353,625,120,339,90,190,59,2,2,0,0,0,0,0,1,11,7,1,0,3,0,0,0,0,133,22,114,0
Mathis,4262,277,66,123,88,66,16,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,37,0
Maud,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maypearl,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McAllen,145684,8492,2690,4308,1494,2581,118,1905,558,8,7,1,0,1,1,0,5,95,40,6,6,43,0,0,3,0,163,75,904,0
McKinney,212716,4733,1199,3080,454,1120,156,885,79,5,5,0,0,0,0,0,8,66,20,19,1,26,0,0,7,0,169,80,505,0
Meadows Place,4598,175,20,132,23,19,1,15,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,1,9,0
Melissa,22495,265,72,115,78,71,7,56,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0
Memorial Villages,11121,187,12,143,32,11,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,19,0
Mercedes,16949,1424,446,826,152,425,63,245,117,0,0,0,0,0,0,0,0,21,11,5,1,4,0,0,3,0,39,10,174,0
Meridian,1427,29,13,9,7,12,1,8,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0
Merkel,2409,35,10,19,6,7,3,3,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,2,6,0
Mesquite,147926,12014,2953,7302,1759,2848,549,1910,389,9,5,1,3,0,0,0,19,77,38,10,7,22,0,0,10,2,437,76,831,0
Mexia,6858,204,80,90,34,71,25,33,13,0,0,0,0,0,0,0,1,8,2,1,0,5,0,0,1,0,16,1,12,0
Midland,135253,7744,2785,3691,1268,2654,445,2021,188,7,7,0,0,0,0,0,26,98,78,5,3,12,0,0,4,1,368,109,727,0
Midlothian,40287,1506,401,732,373,385,32,308,45,0,0,0,0,0,0,0,3,13,6,1,0,6,0,0,3,0,30,10,141,0
Miles,924,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Milford,748,23,7,2,14,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineola,5093,283,45,117,121,42,7,28,7,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,4,2,11,0
Mineral Wells,15347,992,255,682,55,231,31,158,42,0,0,0,0,0,0,0,2,22,22,0,0,0,0,0,2,0,145,24,149,0
Mission,87031,3588,1323,1510,755,1264,137,740,387,1,1,0,0,0,0,0,5,53,19,8,0,26,0,0,5,0,100,36,136,0
Missouri City,77560,1864,621,990,253,577,83,439,55,1,1,0,0,0,0,0,3,40,22,6,0,12,0,0,4,0,48,15,126,0
Monahans,7073,326,110,175,41,99,30,60,9,0,0,0,0,0,0,0,0,11,5,0,1,5,0,0,3,0,28,1,24,0
Mont Belvieu,9539,456,95,268,93,88,14,46,28,0,0,0,0,0,0,0,1,6,4,0,2,0,0,0,0,1,16,13,39,0
Montgomery,2700,157,23,55,79,21,1,18,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,5,3,0
Morgans Point Resort,4829,101,20,34,47,18,1,12,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,8,0
Moulton,856,5,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mount Enterprise,508,11,2,1,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mount Pleasant,15970,1042,228,485,329,206,54,110,42,4,3,1,0,0,0,0,0,18,11,1,0,6,0,0,1,0,31,32,66,0
Mount Vernon,2565,65,24,26,15,22,2,20,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,6,2,0
Muleshoe,5016,87,45,35,7,42,4,24,14,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,12,1,7,0
Murphy,21218,377,143,189,45,134,7,92,35,2,2,0,0,0,0,0,1,6,3,2,0,1,0,0,0,0,9,4,9,0
Nacogdoches,31936,2010,668,802,540,623,42,512,69,4,4,0,0,0,0,0,9,32,25,1,0,6,0,0,1,0,73,29,130,0
Nash,4352,110,29,41,40,24,9,14,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,5,7,0
Nassau Bay,5086,266,46,161,59,38,4,27,7,0,0,0,0,0,0,0,0,8,5,1,0,2,0,0,0,0,26,8,38,0
